t,x,y,z,abs
20591610810,-225155994.3,-161919996.1,254979014.4,376732802.8
20596579120,-262789011,-137783005.8,273081004.6,403256067.6
20601547410,-293175011.9,-137719005.3,255335986.6,412449485.5
20606515790,-328231990.3,-140121996.4,278353989.1,452605078
20611484030,-360881000.8,-133077994,260735988.6,464680648.4
20616452410,-407826989.9,-133337006,264728009.7,504165181.2
20621420720,-445026010.3,-128927007.3,242439001.8,522921593.2
20626389020,-482208997,-124536000.2,241762995.7,553610041.7
20631357560,-507411003.1,-113027997.3,226785004.1,567161963.1
20636325870,-549301981.9,-123131997.9,219052001.8,604051269.1
20641294160,-583894014.4,-114238001.4,204191997.6,629028546.9
20646262460,-618366003,-112530998.9,213328003.9,663738334.5
20651230780,-647934019.6,-106090001.8,210547998.5,689495498.1
20656199160,-672649979.6,-111660003.7,217402994.6,715674516.5
20661167470,-713953018.2,-103067003.2,233884006.7,758322786.1
20666135790,-755134999.8,-106482997.5,233657002.4,797598327.1
20671104320,-777101993.6,-100515998.9,245458006.9,821121554.7
20676072630,-803740024.6,-80169998.11,238155007.4,842106325.4
20681040940,-844623029.2,-88685996.83,238084003.3,882007517.1
20686009240,-880548000.3,-92486999.93,228481993.1,914397423
20690977630,-892368018.6,-86782999.34,216527000.1,922353463.4
20695945940,-923223018.6,-95408998.43,211802005.8,951999847.1
20700914250,-970664978,-94526000.32,211906001,998012934.6
20705882560,-982083022.6,-98393000.66,212053999.3,1009522236
20710850880,-1000414968,-71197003.13,209836006.2,1024661051
20715819420,-1025764942,-84703996.78,224412992.6,1053437077
20720787730,-1053341031,-81384003.16,224660992.6,1080103349
20725756020,-1078356981,-80559998.75,203396007.4,1100324329
20730724320,-1105550051,-84514997.9,208496004.3,1128208440
20735692630,-1125396013,-83783999.09,194472998.4,1145144398
20740661020,-1154600978,-80588996.41,178080007.4,1171029672
20745629330,-1162047029,-75033999.98,178470999,1178064215
20750597630,-1198003054,-66972002.39,176487997.2,1212783814
20755566170,-1207463980,-68516001.11,150591000.9,1218745812
20760534480,-1231022000,-70050999.52,155830994.2,1242821631
20765502790,-1254415989,-64327001.57,156306996.9,1265752469
20770471090,-1251317024,-70560999.21,149624005,1262204616
20775439480,-1269449949,-71924999.36,154912993.3,1280888135
20780407800,-1296892047,-80513000.49,155421003.7,1308650837
20785376100,-1314543962,-62799997.63,143968999.4,1323894536
20790344420,-1322407961,-49908999.35,144499003.9,1331215116
20795312960,-1334900975,-65732002.26,159412995,1345991758
20800281040,-1359251022,-79347997.9,181535005.6,1373613630
20805249550,-1364392996,-64338997.01,127075001.6,1371807497
20810217860,-1371719003,-56435000.15,94171002.51,1376105414
20815186240,-1376340032,-60338001.7,70831000.8,1379481637
20820154490,-1385383964,-64148999.75,42683001.61,1387525012
20825122870,-1384387970,-62963999.81,50407998.26,1386735549
20830091180,-1387613058,-56839998.81,67649997.77,1390423427
20835059490,-1402289033,-52969999.61,84836997.09,1405851226
20840027800,-1416445017,-56301001.46,116333998.7,1422329036
20844996340,-1430083036,-59755001.22,140590995.6,1438219030
20849964650,-1429095984,-65732002.26,148073002.7,1438249506
20854932960,-1449393034,-59955000.88,148356005.5,1458198983
20859901340,-1459952950,-39905000.48,129483997.8,1466226835
20864869650,-1465618014,-55769000.2,89070998.13,1469380818
20869837960,-1471225977,-50115000.46,55854998.53,1473138544
20874806260,-1474282980,-49194000.66,17847999.93,1475211478
20879774790,-1484310985,-52963998.17,8555999.957,1485280273
20884742870,-1474928021,-51747001.71,1631999.97,1475836402
20889711400,-1481942058,-52939999.85,1847999.985,1482888506
20894679710,-1490880966,-46967998.15,18757000.57,1491738541
20899648020,-1482548952,-38639001.55,30804999.17,1483372278
20904616400,-1488065958,-44844999.91,40382999.93,1489289145
20909584710,-1507477045,-43977998.2,47494001.69,1508866060
20914553020,-1504827976,-45728001.74,35374999.05,1505938139
20919521320,-1523255944,-33326998.35,32758999.62,1523972609
20924489630,-1522222042,-44907998.29,18125999.72,1522992195
20929458150,-1521533966,-32659001.65,253000.0056,1521884452
20934426460,-1532536030,-34738000.48,-8090999.909,1532951035
20939394770,-1528983951,-32007001.34,-4497999.791,1529325538
20944363180,-1525194049,-19682999.7,8627999.574,1525345453
20949331490,-1530815959,-21850999.44,2575000.05,1530974068
20954299800,-1533735037,-21702000.87,8437000.215,1533911772
20959268140,-1524409056,-24073999.38,9461999.871,1524628498
20964236670,-1521818995,-19409999.25,15192000.2,1522018594
20969204980,-1526000023,-24385999.89,-701999.9903,1526195020
20974173290,-1532153010,-17686000.09,-11885000.39,1532301176
20979141600,-1535398006,-11146999.9,-27954999.36,1535692930
20984109910,-1533305049,-9550999.85,-32159000.64,1533671998
20989078280,-1521270037,-3206999.972,-53192999.21,1522203109
20994046590,-1535076976,-1644999.953,-64746998.25,1536442710
20999014900,-1538941979,4614000.209,-64400002.36,1540295772
21003983430,-1544882059,-3518000.012,-66509000.96,1546317044
21008951510,-1560050011,-2106999.978,-51925998.18,1560915368
21013920050,-1555824041,11212999.93,-34995999.19,1556257980
21018888360,-1558469057,17199000.34,-39671000.09,1559068759
21023856670,-1553743005,6209999.789,-30014000.83,1554045279
21028825060,-1551013947,14169000.09,-34797001.63,1551468934
21033793370,-1547991037,10092999.79,-37239998.58,1548471807
21038761650,-1558899045,22645000.37,-51738001.41,1559921745
21043729960,-1566931963,13511000.2,-59144999.83,1568106009
21048698270,-1572047949,21166000.52,-71442000.57,1573812795
21053666810,-1576850057,16745999.46,-76615996.66,1578799082
21058635120,-1571632981,29100000.86,-86662001.91,1574289472
21063603430,-1573035002,29332000.76,-84844999.02,1575594541
21068571820,-1576519012,32019000.5,-78296996.65,1578786823
21073540130,-1584414005,29862999.92,-69427996.87,1586215555
21078508440,-1601480007,37225000.56,-63026003.54,1603151955
21083476750,-1579946995,30115999.28,-49490999.43,1581008804
21088445290,-1610996008,27559999.38,11917999.95,1611275808
21093413600,-1610824943,29600000.01,-27235999.7,1611327079
21098381920,-1605731964,45800998.81,-73588997.13,1608069716
21103350220,-1583646059,52446998.66,-127164006.2,1589608824
21108318610,-1587430954,61650000.51,-168859005,1597576640
21113286920,-1588161945,54365001.62,-169979006.1,1598157308
